Label_ID,Ten_Tieng_Anh,Ten_Tieng_Viet,File_Name,Contrast,Dissimilarity,Homogeneity,ASM,Max_Probability,Entropy,GLCM_Mean,GLCM_Variance,Correlation
Leaf 5,Alnus incana,Cây Tống quán sủ xám,1538.jpg,0.0901367110560327,0.2794322181100818,0.63287219181815,0.2976620940615515,0.4306181619510235,0.6093403320873022,0.4269378510548206,0.485992044605547,0.8861817290268346
Leaf 8,Populus tremula,Cây Bạch dương rung,1811.jpg,0.2634200968779774,0.5936017662060245,0.2811253213049479,0.0689529513193079,0.1082814127286722,0.8124996707616484,0.0687638995230268,0.5385921413963125,0.6935199019777788
Leaf 11,Salix cinerea,Cây Liễu xám,2102.jpg,0.1378054115759541,0.2325332561681855,0.7296296337811108,0.3858580948724762,0.487735315138642,0.5078548198894989,0.3816829078899552,0.7139900910399292,0.8878382197822905
Leaf 11,Salix cinerea,Cây Liễu xám,2126.jpg,0.1033444039357085,0.1954777265426111,0.7631340535172455,0.360705165399628,0.4652731907198518,0.5364765722277647,0.3640208643102435,0.7176291717361637,0.9247389692059348
Leaf 12,Populus,Cây Dương / Bạch dương,2214.jpg,0.0496768877413925,0.0763222650613369,0.9028300098830194,0.7242845632340865,0.7947304429535282,0.243376116920724,0.7575431640503353,0.4234073322586896,0.9213217563922682
Leaf 14,Sorbus intermedia,Cây Thanh lương trà Thụy Điển,2458.jpg,0.1055456860823211,0.19647633561818,0.7611704523767123,0.3294205982485291,0.414865006095323,0.550658777266992,0.2684808538474609,0.8076432158138336,0.9395696763157612
Leaf 1,Ulmus carpinifolia,Cây Du,1169.jpg,0.2127906075058871,0.2752594587585975,0.7142063428656518,0.6606051705522787,0.775618017532001,0.3583772567810238,0.7939994334905088,0.2813745069835627,0.6392715760379549
Leaf 12,Populus,Cây Dương / Bạch dương,2266.jpg,0.0630776755462097,0.1021434425867612,0.8737489190589186,0.7958692187092513,0.8613416001562467,0.2276067620793496,0.8366018353119025,0.3374766158457585,0.8791281380642493
Leaf 2,Acer,Cây Phong,1268.jpg,0.1209546611086095,0.3185206304966357,0.5956451802546306,0.2613537016132121,0.3547809766529857,0.6437023076961742,0.3749383363031972,0.4381982948735141,0.8331759770760354
Leaf 14,Sorbus intermedia,Cây Thanh lương trà Thụy Điển,2470.jpg,0.2110784991696328,0.4043653463857189,0.5203600497900008,0.2463465947793685,0.371223213445266,0.6808296197049295,0.1723747522443036,0.9289601029396936,0.8630139391810963
Leaf 13,Tilia,Cây Đoạn,2341.jpg,0.3144615220903695,0.5474160964609631,0.3813150251156625,0.2487458867149601,0.4018203211431241,0.7478576260986188,0.4283854269709239,0.4670211304926966,0.5987207193855092
Leaf 11,Salix cinerea,Cây Liễu xám,2164.jpg,0.1651219069859657,0.3439138327039591,0.5847663811039497,0.2915642485640321,0.4402174422203233,0.6081754586328935,0.3706683917015078,0.6286992355455433,0.8370125063093469
Leaf 9,Ulmus glabra,Cây Du núi,1966.jpg,0.7701397994341925,0.8105852524832087,0.2729460573919694,0.3208867057833794,0.4752648643002595,0.7673058937026601,0.500651004547987,0.5517382816370577,0.1018364423262459
Leaf 8,Populus tremula,Cây Bạch dương rung,1871.jpg,0.1957338891183915,0.4983059287088784,0.3784908905090436,0.1744432242490197,0.3301080508960017,0.7332253777848253,0.2596902671390607,0.6405032651155363,0.8064385971150162
Leaf 1,Ulmus carpinifolia,Cây Du,1131.jpg,0.1993898197010699,0.2538606928535497,0.7377528557964643,0.6300252758549285,0.7467244710384653,0.3883011642716485,0.7915652415868947,0.2430965621259891,0.6378610935852913
Leaf 8,Populus tremula,Cây Bạch dương rung,1852.jpg,0.1991194868058718,0.4568279874629277,0.4411989262127807,0.1850750216767711,0.2943236950366678,0.6779072827978031,0.1736201527531293,0.7401177544870661,0.8303864664423736
Leaf 6,Betula pubescens,Cây Bạch dương lông,1659.jpg,0.0773538270116682,0.1664467341314298,0.7888817474231163,0.5507761489052231,0.6449988977758653,0.3753748159321552,0.5395414658917757,0.6675660911726576,0.942520731357668
Leaf 7,Salix alba 'Tristis',Cây Liễu rủ,1739.jpg,0.0885275866798539,0.1194051137501664,0.8639799039677962,0.5914367498894192,0.6716050783826985,0.3352139983105396,0.5887024379252326,0.6211281426551254,0.9206588261979538
Leaf 6,Betula pubescens,Cây Bạch dương lông,1621.jpg,0.0508354572922412,0.0468276327222128,0.9460919802935528,0.7970436786731888,0.8470144590165243,0.1474589430690671,0.7987869471348271,0.3872949014611467,0.9103662300101082
Leaf 10,Sorbus aucuparia,Cây Thanh lương trà,2035.jpg,0.0347055945454247,0.1381646985269249,0.8046301818150946,0.4172971278984536,0.5032492067802524,0.4631606436623497,0.3959969267251617,0.7170405196798626,0.9965164391272792
Leaf 7,Salix alba 'Tristis',Cây Liễu rủ,1743.jpg,0.0718313121526225,0.1178715355269713,0.8564413401972611,0.4740162593165181,0.536717485047193,0.3887924030992312,0.4306336174998438,0.7111210149877598,0.9565694421419072
Leaf 10,Sorbus aucuparia,Cây Thanh lương trà,2009.jpg,0.0913210265969004,0.2776846522278363,0.6360129558541515,0.2586350245469325,0.3793294850186429,0.6315045078957944,0.2755569931021535,0.718727633612605,0.9375384390386758
Leaf 7,Salix alba 'Tristis',Cây Liễu rủ,1701.jpg,0.1307638833057956,0.2439815959273861,0.7089994796241357,0.536335163641511,0.663805065003357,0.4605430542284998,0.5531033922119114,0.720190623612037,0.8965912990457978
Leaf 13,Tilia,Cây Đoạn,2322.jpg,0.3179243577479064,0.5780519963150231,0.3367251107465,0.1527745321633419,0.2726846395143478,0.7984663488506629,0.2778860537939837,0.5175877895343786,0.6189946675706288
Leaf 11,Salix cinerea,Cây Liễu xám,2166.jpg,0.1333642282977006,0.2067120786427612,0.7636280389426009,0.4264781514658861,0.5445749218379159,0.4581158728573173,0.4655695278772953,0.6300818798372603,0.8727176748395453
Leaf 12,Populus,Cây Dương / Bạch dương,2231.jpg,0.0866610024034865,0.1104176320700463,0.8750671325236336,0.6649551763314046,0.7395082623415042,0.2807136400864108,0.6722413162120561,0.5373307778623829,0.903528152229873
Leaf 8,Populus tremula,Cây Bạch dương rung,1815.jpg,0.1346515277986436,0.3162737600766057,0.6067116827611944,0.2562369128130533,0.3702374448832142,0.6297160552725739,0.2544984026801895,0.7375641558714653,0.8963321592781314
Leaf 4,Quercus,Cây Sồi,1441.jpg,0.0223089003513431,0.1640928698818744,0.7579781200719663,0.6127073036271619,0.7473178462894091,0.4650229682982753,0.8001455658717275,0.2087535035772557,0.8988078656476597
Leaf 12,Populus,Cây Dương / Bạch dương,2273.jpg,0.0756545916704234,0.1980455784512169,0.7418187330104767,0.6155793581443609,0.7344358610027913,0.4111014261787997,0.7180138284195514,0.4158999677446171,0.8853186533448654
Leaf 14,Sorbus intermedia,Cây Thanh lương trà Thụy Điển,2419.jpg,0.1316392469664369,0.3009736424544965,0.6255807882107821,0.3620279235993738,0.5220362328706166,0.5985978926104808,0.4695159918273412,0.5662836563554378,0.8580292745724218
Leaf 0,Unknown,Không rõ,1022.jpg,0.1038721967310951,0.3167374000045485,0.5869769609129277,0.1848892279861888,0.2984868923618375,0.7476318811849421,0.3719946623732449,0.3597476254812222,0.8296974877870835
Leaf 4,Quercus,Cây Sồi,1452.jpg,0.0927241830529283,0.2526124315090886,0.6734260373210451,0.5346034585681675,0.6749547773799615,0.4423852031869216,0.669572600836001,0.3830594504565153,0.8526793651228266
Leaf 0,Unknown,Không rõ,1045.jpg,0.0648155298724828,0.2065337555935525,0.7237717165552857,0.3164251723022582,0.4124245111116028,0.5872882564724553,0.4353079129160856,0.4207505923170174,0.9008605457407936
Leaf 1,Ulmus carpinifolia,Cây Du,1148.jpg,0.0879354289094201,0.0975427079171759,0.8981706038695585,0.7314637033794736,0.7981854182049911,0.226120153671998,0.8827706113176609,0.0704114069742542,0.7242317782497413
Leaf 12,Populus,Cây Dương / Bạch dương,2224.jpg,0.0576710176422489,0.0998609075568894,0.8737134692501742,0.7265838916640244,0.7992764630212426,0.2447373539601857,0.7554162787657818,0.4293507467012092,0.912439104019158
Leaf 13,Tilia,Cây Đoạn,2306.jpg,0.3137406343698415,0.519597700784401,0.4203087668196201,0.2312831033708693,0.3370945659474363,0.740520716728992,0.3891067888451639,0.4248401979294058,0.5776766279778109
Leaf 12,Populus,Cây Dương / Bạch dương,2223.jpg,0.0583146673927204,0.0727558040771623,0.9136140061289432,0.7380787126363162,0.8032673901122674,0.2225375566379689,0.7622093724502863,0.4216893038803017,0.9096051086212632
Leaf 13,Tilia,Cây Đoạn,2336.jpg,0.2812878139510671,0.4927779141834079,0.4405538172610034,0.3031116721495716,0.4719917298515052,0.6954612179714219,0.4738668065919401,0.5016676283462491,0.6563038483147305
Leaf 6,Betula pubescens,Cây Bạch dương lông,1655.jpg,0.1343425759184173,0.3262955154421364,0.5914786879833919,0.4996767185316894,0.6488366957698724,0.4837454625524231,0.6149043707083217,0.4752708742767365,0.8280226594683988
